Store Nbr	Store Name	FORMATO	WH
1159	WALMART EXPRESS TEJEDA	WMEXPRESS	7464
1160	WALMART EXPRESS TECNOLOGI	WMEXPRESS	7464
1161	BA VALLE DE CHALCO	BODEGA	7471
1162	MB TEQUILA	MIBODEGA	5907
1163	MB ATOTONILCO	MIBODEGA	5907
1165	MB HUATUSCO	MIBODEGA	7471
1166	MB AGUA DULCE	MIBODEGA	7468
1167	MB TLAPACOYAN	MIBODEGA	7471
1168	MB TEQUISQUIAPAN	MIBODEGA	8805
1169	SC PLAZA ARBOLEDAS	SUPERCENTER	7464
1170	SC PARRAL	SUPERCENTER	4640
1171	SC SAN JOSE TECAMAC	SUPERCENTER	7471
1174	BA MINATITLAN	BODEGA	7468
1176	BA SN JUAN D LOS LAGOS	BODEGA	7493
1177	BA S TIANGUISTENCO	BODEGA	7494
1179	BA MORELIA NORTE III	BODEGA	7494
1180	BA TUXTEPEC	BODEGA	7468
1181	BA LEON ECHEVESTE	BODEGA	7494
1190	MB AMECA PATRIA	MIBODEGA	5907
1193	MB LA ISLA	MIBODEGA	7468
1194	MB IXTLAHUACA	MIBODEGA	8805
1195	SC GALERIAS LAS TORRES	SUPERCENTER	7464
1196	WALMART EXPRESS MILENIO	WMEXPRESS	7464
1199	BA TEPOJACO	BODEGA	7482
1201	BA SAN AGUSTIN	BODEGA	7494
1202	SC HORIZONTE	SUPERCENTER	7471
1203	SC SUPER PLAZA ECATEPEC	SUPERCENTER	7464
1204	SC MOCHIS SUR	SUPERCENTER	7487
1205	SC ALIJADORES	SUPERCENTER	7490
1230	MB TUXTLA CHICO	MIBODEGA	7468
1231	MB PUREPERO	MIBODEGA	5907
1233	BA TECALCO	BODEGA	7494
1234	BA APODACA SUR	BODEGA	7490
1235	BA LOMAS DE SANTA MONICA	BODEGA	7490
1236	BD ATLACOMULCO	BODEGA	7494
1237	MB BOCHIL RIO	MIBODEGA	7468
1239	MB PICHUCALCO	MIBODEGA	7468
1240	MB GUTIERREZ ZAMORA CENTR	MIBODEGA	8805
1241	MB TRES VALLES	MIBODEGA	7468
1242	MB EBANO CENTRO	MIBODEGA	8805
1243	MB PERIBAN	MIBODEGA	5907
1244	MB PEDRO ESCOBEDO	MIBODEGA	8805
1245	MB NOCHISTLAN	MIBODEGA	5907
1246	MB SALINAS VICTORIA	MIBODEGA	5922
1247	WALMART EXPRESS MONTERREY	WMEXPRESS	7490
1248	WALMART EXPRESS ZAPATA	WMEXPRESS	7471
1249	WALMART EXPRESS NACIONES	WMEXPRESS	7493
1252	BA INSTITUTO TECNOLOGICO	BODEGA	7468
1253	BD PENAFLOR	BODEGA	7482
1254	MB ACALA	MIBODEGA	7468
1267	BAE RIO MEDIO	BAE	7459
1276	MB ACAJETE CENTRO	MIBODEGA	7471
1326	SC LOS PINOS ZARAGOZA	SUPERCENTER	7471
1327	MB ACAXOCHITLAN	MIBODEGA	8805
1328	MB EL HIGO SUR	MIBODEGA	8805
1341	BA ESPERANZA	BODEGA	7487
1342	BA PLAZA FLORES	BODEGA	7468
1345	BA LAS BRISAS CUAUTLA	BODEGA	7471
1349	MB CUENCAME	MIBODEGA	5922
1353	BD AVENIDA SANTA ISABEL	BODEGA	4924
1356	MB ACANCEH PONIENTE	MIBODEGA	4188
1373	BA EL CANTADOR	BODEGA	7494
1374	MB GONZALEZ MANTE	MIBODEGA	5922
1377	MB PINOTEPA PLAZA	MIBODEGA	7471
1387	BA 5TA PONIENTE	BODEGA	7468
1388	BA AVENIDA NICHUPTE	BODEGA	4188
1399	BA LOMA FLORIDA APIZACO	BODEGA	7471
1400	BA JOYAS DE COACALCO	BODEGA	7494
1401	BA LOS SAUCES	BODEGA	7494
1403	SC CHAPALA AJIJIC	SUPERCENTER	7493
1404	SC GALERIAS SALTILLO	SUPERCENTER	7490
1409	MB IXTAPA	MIBODEGA	5907
1410	MB PAPALOTLA	MIBODEGA	7471
1411	MB TUXPAN CENTRO	MIBODEGA	5907
1412	MB VILLAGRAN	MIBODEGA	8805
1417	BA MEXICALI SUR	BODEGA	4924
1418	MB CALPULALPAN	MIBODEGA	8805
1419	BA NUEVO MEXICALI	BODEGA	4924
1420	BA 14 ORIENTE	BODEGA	7471
1421	BA MEXICALI SURESTE	BODEGA	4924
1422	BA ALFREDO JIMENEZ	BODEGA	7494
1423	SC SANTA ELENA	SUPERCENTER	7464
1424	MB SIMOJOVEL	MIBODEGA	7468
1425	SC BAHIA DE BANDERAS	SUPERCENTER	7493
1426	BA COYOL	BODEGA	7471
1428	BA SAN MATEO ATENCO	BODEGA	7494
1431	MB COTIJA	MIBODEGA	5907
1432	MB OCOSINGO	MIBODEGA	7468
1434	MB TONALA	MIBODEGA	7468
